country,date,price
IT,2019-11-08,29.5000
IT,2019-11-07,29.3200
IT,2019-11-06,29.3000
IT,2019-11-05,29.3700
IT,2019-11-04,29.5100
IT,2019-11-01,29.2200
IT,2019-10-31,28.8700
IT,2019-10-30,28.7700
IT,2019-10-29,28.7400
IT,2019-10-28,28.6600
IT,2019-10-25,28.5300
IT,2019-10-24,28.4300
IT,2019-10-23,28.3600
IT,2019-10-22,28.3500
IT,2019-10-21,28.5500
IT,2019-10-18,28.4000
IT,2019-10-17,28.2800
IT,2019-10-16,28.2300
IT,2019-10-15,28.0900
IT,2019-10-14,27.7800
FR,2020-03-06,28.5400
FR,2020-03-05,29.1800
FR,2020-03-04,30.2400
FR,2020-03-03,29.2200
FR,2020-03-02,29.6200
FR,2020-02-28,28.9300
FR,2020-02-27,29.1800
FR,2020-02-26,29.9800
FR,2020-02-25,30.0100
FR,2020-02-24,30.7500
FR,2020-02-21,32.0900
FR,2020-02-20,32.2300
FR,2020-02-19,32.3800
FR,2020-02-18,32.1900
FR,2020-02-14,32.2900
FR,2020-02-13,32.3500
FR,2020-02-12,32.5700
FR,2020-02-11,32.3500
FR,2020-02-10,32.2600
FR,2020-02-07,32.2300
FR,2020-02-06,32.4200
FR,2020-02-05,32.2600
FR,2020-02-04,31.9800
FR,2020-02-03,31.5200
FR,2020-01-31,31.4000
FR,2020-01-30,31.8500
FR,2020-01-29,31.9500
FR,2020-01-28,31.8500
FR,2020-01-27,31.5500
FR,2020-01-24,32.2500
FR,2020-01-23,32.4100
FR,2020-01-22,32.4700
FR,2020-01-21,32.5800
FR,2020-01-17,32.9600
FR,2020-01-16,32.8300
FR,2020-01-15,32.7000
FR,2020-01-14,32.7200
FR,2020-01-13,32.7000
FR,2020-01-10,32.5300
FR,2020-01-09,32.6800
FR,2020-01-08,32.6500
FR,2020-01-07,32.5400
FR,2020-01-06,32.7500
FR,2020-01-03,32.6000
FR,2020-01-02,32.9400
FR,2019-12-31,32.7100
FR,2019-12-30,32.5200
FR,2019-12-27,32.6700
FR,2019-12-26,32.6100
FR,2019-12-24,32.4200
FR,2019-12-23,32.4900
FR,2019-12-20,32.3500
FR,2019-12-19,32.3100
FR,2019-12-18,32.2100
FR,2019-12-17,32.3500
FR,2019-12-16,32.4300
FR,2019-12-13,32.1200
FR,2019-12-12,32.0100
FR,2019-12-11,31.7800
FR,2019-12-10,31.6300
FR,2019-12-09,31.4600
FR,2019-12-06,31.6900
FR,2019-12-05,31.4900
FR,2019-12-04,31.4000
FR,2019-12-03,31.1700
FR,2019-12-02,31.3400
FR,2019-11-29,31.6600
FR,2019-11-27,31.8100
FR,2019-11-26,31.9000
